
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-24 13:26:02 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:27:02 /api/cctv-events ............................. ~ 0.22ms
  2026-05-24 13:27:02 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:28:02 /api/cctv-events ........................... ~ 510.90ms
  2026-05-24 13:28:02 /api/cctv-events ................................ ~ 33s
  2026-05-24 13:29:29 /api/cctv-events ............................. ~ 0.26ms
  2026-05-24 13:29:29 /api/cctv-events ................................. ~ 1s
  2026-05-24 13:30:01 /api/cctv-events ........................... ~ 510.45ms
  2026-05-24 13:30:02 /api/cctv-events ................................ ~ 30s
  2026-05-24 13:31:02 /api/cctv-events ............................. ~ 0.24ms
  2026-05-24 13:31:02 /api/cctv-events ................................ ~ 33s
  2026-05-24 13:32:36 /api/cctv-events ............................. ~ 0.25ms
  2026-05-24 13:32:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:33:49 /api/cctv-events ........................... ~ 514.54ms
  2026-05-24 13:33:49 /api/cctv-events ................................. ~ 8s
  2026-05-24 13:34:29 /api/cctv-events ............................. ~ 0.22ms
  2026-05-24 13:34:29 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:35:29 /api/cctv-events ........................... ~ 513.70ms
  2026-05-24 13:35:29 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:36:29 /api/cctv-events ............................. ~ 0.29ms
  2026-05-24 13:36:29 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:37:36 /api/cctv-events ............................. ~ 0.25ms
  2026-05-24 13:37:36 /api/cctv-events ................................ ~ 27s
  2026-05-24 13:38:07 /api/cctv-events ............................. ~ 0.21ms
  2026-05-24 13:38:07 /api/cctv-events ................................ ~ 30s
  2026-05-24 13:39:08 /api/cctv-events ............................. ~ 0.21ms
  2026-05-24 13:39:08 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:40:08 /api/cctv-events ............................. ~ 0.20ms
  2026-05-24 13:40:08 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:41:08 /api/cctv-events ........................... ~ 511.48ms
  2026-05-24 13:41:08 .............................................. ~ 1m 27s
  2026-05-24 13:42:36 /api/cctv-events ............................. ~ 0.29ms
  2026-05-24 13:42:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:44:36 /api/cctv-events ........................... ~ 512.83ms
  2026-05-24 13:44:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:46:36 /api/cctv-events ............................. ~ 0.26ms
  2026-05-24 13:46:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:48:36 /api/cctv-events ............................. ~ 0.25ms
  2026-05-24 13:48:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:50:36 /api/cctv-events ............................. ~ 0.22ms
  2026-05-24 13:50:36 /api/cctv-events ................................ ~ 59s
  2026-05-24 13:52:36 /api/cctv-events ............................. ~ 0.24ms
  2026-05-24 13:52:36 /api/cctv-events ................................ ~ 42s
  2026-05-24 13:53:37 /api/cctv-events ........................... ~ 511.63ms
  2026-05-24 13:53:38 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:54:38 /api/cctv-events ........................... ~ 512.02ms
  2026-05-24 13:54:38 /api/cctv-events ................................ ~ 45s
  2026-05-24 13:55:38 /api/cctv-events ............................. ~ 0.22ms
  2026-05-24 13:55:38 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:57:36 /api/cctv-events ............................. ~ 0.22ms
^C
